just_date,0,1,2
2020-12-12,2.0,50.0,11.0
2020-12-13,5.0,77.0,16.0
2020-12-14,1.0,107.0,29.0
2020-12-15,8.0,112.0,30.0
2020-12-16,14.0,104.0,26.0
2020-12-17,13.0,81.0,45.0
2020-12-18,2.0,70.0,40.0
2020-12-19,4.0,70.0,36.0
2020-12-20,8.0,48.0,12.0
2020-12-21,4.0,73.0,25.0
2020-12-22,5.0,107.0,45.0
2020-12-23,4.0,92.0,27.0
2020-12-24,5.0,83.0,26.0
2020-12-25,,35.0,5.0
2020-12-26,2.0,33.0,12.0
2020-12-27,2.0,45.0,12.0
2020-12-28,2.0,42.0,9.0
2020-12-29,6.0,62.0,17.0
2020-12-30,9.0,72.0,26.0
2020-12-31,1.0,50.0,21.0
2021-01-01,3.0,77.0,15.0
2021-01-02,11.0,53.0,19.0
2021-01-03,2.0,42.0,12.0
2021-01-04,6.0,49.0,17.0
2021-01-05,10.0,73.0,28.0
2021-01-06,10.0,68.0,34.0
2021-01-07,7.0,41.0,28.0
2021-01-08,6.0,99.0,105.0
2021-01-09,6.0,109.0,55.0
2021-01-10,5.0,74.0,39.0
2021-01-11,4.0,54.0,35.0
2021-01-12,5.0,59.0,42.0
2021-01-13,2.0,66.0,43.0
2021-01-14,6.0,62.0,38.0
2021-01-15,21.0,87.0,40.0
2021-01-16,30.0,79.0,20.0
2021-01-17,25.0,52.0,22.0
2021-01-18,11.0,38.0,17.0
2021-01-19,7.0,62.0,31.0
2021-01-20,6.0,63.0,35.0
2021-01-21,9.0,108.0,28.0
2021-01-22,3.0,44.0,18.0
2021-01-23,3.0,43.0,19.0
2021-01-24,3.0,40.0,10.0
2021-01-25,2.0,54.0,21.0
2021-01-26,7.0,66.0,18.0
2021-01-27,3.0,60.0,26.0
2021-01-28,2.0,49.0,29.0
2021-01-29,4.0,65.0,27.0
2021-01-30,3.0,57.0,13.0
2021-01-31,2.0,22.0,6.0
2021-02-01,1.0,20.0,10.0
2021-02-02,5.0,32.0,16.0
2021-02-03,3.0,21.0,13.0
2021-02-04,6.0,38.0,25.0
2021-02-05,4.0,45.0,21.0
2021-02-06,2.0,30.0,7.0
2021-02-07,28.0,256.0,55.0
2021-02-08,31.0,383.0,97.0
2021-02-09,33.0,328.0,98.0
2021-02-10,31.0,364.0,109.0
2021-02-11,27.0,324.0,97.0
2021-02-12,41.0,334.0,122.0
2021-02-13,27.0,249.0,115.0
2021-02-14,17.0,177.0,65.0
2021-02-15,14.0,267.0,62.0
2021-02-16,18.0,320.0,83.0
2021-02-17,18.0,380.0,101.0
2021-02-18,32.0,411.0,119.0
2021-02-19,18.0,375.0,124.0
2021-02-20,27.0,273.0,93.0
2021-02-21,17.0,191.0,61.0
2021-02-22,15.0,385.0,80.0
2021-02-23,23.0,309.0,74.0
2021-02-24,31.0,484.0,143.0
2021-02-25,34.0,431.0,157.0
2021-02-26,32.0,495.0,150.0
2021-02-27,25.0,321.0,116.0
2021-02-28,25.0,400.0,83.0
2021-03-01,45.0,2516.0,350.0
2021-03-02,42.0,637.0,180.0
2021-03-03,65.0,718.0,566.0
2021-03-04,32.0,665.0,318.0
2021-03-05,42.0,561.0,214.0
2021-03-06,27.0,349.0,181.0
2021-03-07,38.0,250.0,99.0
2021-03-08,56.0,369.0,121.0
2021-03-09,48.0,462.0,198.0
2021-03-10,44.0,541.0,175.0
2021-03-11,96.0,608.0,207.0
2021-03-12,54.0,581.0,218.0
2021-03-13,43.0,342.0,153.0
2021-03-14,51.0,298.0,98.0
2021-03-15,82.0,706.0,170.0
2021-03-16,112.0,1033.0,270.0
2021-03-17,59.0,683.0,239.0
2021-03-18,61.0,628.0,280.0
2021-03-19,55.0,647.0,270.0
2021-03-20,50.0,636.0,309.0
2021-03-21,56.0,407.0,157.0
2021-03-22,42.0,632.0,245.0
2021-03-23,43.0,517.0,243.0
2021-03-24,45.0,566.0,263.0
2021-03-25,36.0,490.0,197.0
2021-03-26,23.0,419.0,187.0
2021-03-27,35.0,341.0,180.0
2021-03-28,32.0,290.0,126.0
2021-03-29,22.0,511.0,240.0
2021-03-30,56.0,656.0,302.0
2021-03-31,67.0,822.0,370.0
2021-04-01,50.0,618.0,280.0
2021-04-02,48.0,470.0,192.0
2021-04-03,57.0,548.0,204.0
2021-04-04,37.0,336.0,108.0
2021-04-05,26.0,386.0,192.0
2021-04-06,51.0,549.0,246.0
2021-04-07,103.0,1126.0,368.0
2021-04-08,108.0,1539.0,334.0
2021-04-09,90.0,848.0,295.0
2021-04-10,75.0,659.0,251.0
2021-04-11,102.0,592.0,188.0
2021-04-12,94.0,1346.0,609.0
2021-04-13,111.0,1329.0,477.0
2021-04-14,87.0,950.0,430.0
2021-04-15,104.0,962.0,384.0
2021-04-16,89.0,945.0,410.0
2021-04-17,91.0,653.0,297.0
2021-04-18,71.0,502.0,198.0
2021-04-19,52.0,705.0,329.0
2021-04-20,42.0,765.0,248.0
2021-04-21,102.0,1468.0,853.0
2021-04-22,49.0,595.0,196.0
2021-05-13,21.0,322.0,129.0
2021-05-14,44.0,1084.0,246.0
2021-05-15,52.0,549.0,186.0
2021-05-16,31.0,884.0,325.0
2021-05-17,39.0,841.0,271.0
2021-05-18,50.0,821.0,249.0
2021-05-19,49.0,823.0,217.0
2021-05-20,47.0,798.0,252.0
2021-05-21,10.0,212.0,52.0
2021-05-22,23.0,322.0,146.0
2021-05-23,49.0,594.0,162.0
2021-05-24,34.0,1133.0,170.0
2021-05-25,50.0,987.0,381.0
2021-05-26,44.0,833.0,205.0
2021-05-27,49.0,891.0,212.0
2021-05-28,47.0,950.0,219.0
2021-05-29,35.0,762.0,227.0
2021-05-30,17.0,544.0,124.0
2021-05-31,31.0,672.0,184.0
2021-06-01,30.0,859.0,194.0
2021-06-02,23.0,478.0,168.0
2021-06-03,35.0,344.0,108.0
2021-06-04,32.0,252.0,103.0
2021-06-05,18.0,399.0,119.0
2021-06-06,17.0,300.0,75.0
2021-06-07,47.0,1092.0,231.0
2021-06-08,35.0,1445.0,259.0
2021-06-09,63.0,1184.0,249.0
2021-06-10,38.0,957.0,218.0
2021-06-11,95.0,1239.0,225.0
2021-06-12,44.0,1049.0,198.0
2021-06-13,27.0,692.0,129.0
2021-06-14,24.0,419.0,97.0
2021-06-15,40.0,331.0,176.0
2021-06-16,19.0,496.0,111.0
2021-06-17,40.0,1404.0,218.0
2021-06-18,39.0,1249.0,220.0
2021-06-19,30.0,941.0,141.0
2021-06-20,22.0,274.0,68.0
2021-06-21,25.0,406.0,158.0
2021-06-22,66.0,1695.0,392.0
2021-06-23,56.0,1943.0,226.0
2021-06-24,53.0,1343.0,192.0
2021-06-25,46.0,1742.0,236.0
2021-06-26,56.0,827.0,146.0
2021-06-27,29.0,340.0,101.0
2021-06-28,54.0,741.0,162.0
2021-06-29,50.0,2273.0,303.0
2021-06-30,80.0,1718.0,616.0
2021-07-01,36.0,1738.0,209.0
2021-07-07,8.0,59.0,17.0
2021-07-08,19.0,288.0,85.0
2021-07-09,24.0,367.0,75.0
2021-07-10,26.0,312.0,69.0
2021-07-11,18.0,423.0,80.0
2021-07-12,42.0,668.0,133.0
2021-07-13,46.0,1580.0,171.0
2021-07-14,29.0,1265.0,141.0
2021-07-15,29.0,1329.0,146.0
2021-07-16,34.0,1591.0,177.0
2021-07-17,35.0,849.0,116.0
2021-07-18,23.0,272.0,66.0
2021-07-19,30.0,2326.0,126.0
2021-07-20,15.0,1174.0,113.0
2021-07-21,25.0,440.0,107.0
2021-07-22,23.0,621.0,87.0
2021-07-23,39.0,2172.0,161.0
2021-07-24,30.0,1207.0,112.0
2021-07-25,23.0,249.0,48.0
2021-07-26,19.0,355.0,92.0
2021-07-27,31.0,422.0,84.0
2021-07-28,29.0,1166.0,114.0
2021-07-29,45.0,1150.0,113.0
2021-07-30,68.0,1204.0,139.0
2021-07-31,40.0,1154.0,105.0
2021-08-01,36.0,1045.0,75.0
2021-08-02,48.0,1058.0,304.0
2021-08-03,38.0,781.0,188.0
2021-08-04,37.0,759.0,151.0
2021-08-05,42.0,941.0,245.0
2021-08-06,31.0,774.0,168.0
2021-08-07,39.0,559.0,108.0
2021-08-08,33.0,564.0,124.0
2021-08-09,34.0,885.0,174.0
2021-08-10,50.0,921.0,168.0
2021-08-11,156.0,1330.0,262.0
2021-08-12,53.0,742.0,140.0
2021-08-13,888.0,771.0,112.0
2021-08-14,79.0,696.0,105.0
2021-08-15,20.0,324.0,58.0
2021-08-16,11.0,408.0,74.0
2021-08-17,34.0,485.0,135.0
2021-08-18,36.0,629.0,182.0
2021-08-19,38.0,574.0,111.0
2021-08-20,71.0,545.0,100.0
2021-08-21,28.0,462.0,100.0
2021-08-22,27.0,546.0,72.0
2021-08-23,35.0,970.0,191.0
2021-08-24,44.0,673.0,143.0
2021-08-25,32.0,718.0,102.0
2021-08-26,42.0,882.0,97.0
2021-08-27,41.0,762.0,125.0
2021-08-28,91.0,583.0,90.0
2021-08-29,63.0,610.0,68.0
2021-08-30,65.0,643.0,63.0
2021-08-31,23.0,584.0,101.0
2021-09-01,33.0,815.0,109.0
2021-09-02,38.0,447.0,82.0
2021-09-03,28.0,534.0,70.0
2021-09-04,29.0,540.0,73.0
2021-09-05,9.0,434.0,29.0
2021-09-06,8.0,433.0,44.0
2021-09-07,9.0,404.0,43.0
2021-09-08,7.0,366.0,39.0
2021-09-09,6.0,205.0,55.0
2021-09-10,21.0,398.0,116.0
2021-09-11,22.0,280.0,82.0
2021-09-12,13.0,412.0,39.0
2021-09-13,25.0,726.0,113.0
2021-09-14,28.0,663.0,89.0
2021-09-15,36.0,491.0,78.0
2021-09-16,44.0,580.0,110.0
2021-09-17,36.0,691.0,117.0
2021-09-18,34.0,652.0,88.0
2021-09-19,24.0,380.0,87.0
2021-09-20,25.0,569.0,110.0
2021-09-21,17.0,520.0,66.0
2021-09-22,4.0,102.0,9.0
2021-09-23,4.0,345.0,30.0
2021-09-24,11.0,384.0,35.0
2021-09-25,2.0,185.0,21.0
2021-09-26,3.0,333.0,20.0
2021-09-27,6.0,511.0,20.0
2021-09-28,13.0,585.0,70.0
2021-09-29,15.0,730.0,60.0
2021-09-30,25.0,548.0,68.0
2021-10-01,25.0,388.0,46.0
2021-10-02,11.0,250.0,31.0
2021-10-03,9.0,369.0,26.0
2021-10-04,11.0,505.0,39.0
2021-10-05,30.0,596.0,60.0
2021-10-06,52.0,620.0,55.0
2021-10-07,62.0,610.0,63.0
2021-10-08,42.0,431.0,40.0
2021-10-09,56.0,350.0,34.0
2021-10-10,22.0,236.0,28.0
2021-10-11,17.0,297.0,40.0
2021-10-12,39.0,1474.0,527.0
2021-10-13,24.0,635.0,65.0
2021-10-14,26.0,665.0,89.0
2021-10-15,29.0,526.0,91.0
2021-10-16,27.0,585.0,33.0
2021-10-17,16.0,441.0,23.0
2021-10-18,45.0,689.0,67.0
2021-10-19,32.0,572.0,88.0
2021-10-20,36.0,550.0,76.0
2021-10-21,45.0,870.0,183.0
2021-10-22,33.0,570.0,124.0
2021-10-23,31.0,361.0,98.0
2021-10-24,30.0,262.0,43.0
